Mes;Total;Agropecuarios, alimentos y bebidas;Combustibles y Prod de industrias extractivas ;Manufacturas;Otros sectores 
nov-17;3.122.237;569.719;1.696.158;718.175;138.185
dic-17;4.014.818;553.023;2.653.972;664.693;143.130
ene-18;3.324.889;682.149;1.986.100;595.728;60.913
feb-18;3.027.603;617.660;1.660.936;620.610;128.397
mar-18;3.365.116;635.808;1.933.258;678.867;117.183
abr-18;3.786.537;673.927;2.239.079;751.507;122.023
may-18;3.719.410;692.528;2.144.045;754.599;128.239
jun-18;3.331.933;591.486;1.905.268;714.617;120.561
jul-18;3.632.055;574.750;2.224.563;705.461;127.281
ago-18;3.684.399;628.868;2.191.686;730.207;133.637
sep-18;3.512.842;511.013;2.177.809;702.563;121.457
oct-18;3.768.666;581.151;2.305.635;737.734;144.146
nov-18;3.343.509;549.654;2.003.739;662.737;127.379
dic-18;3.407.819;562.259;2.011.151;669.732;164.677
ene-19;3.066.110;641.110;1.640.274;666.172;118.554
feb-19;3.183.071;658.574;1.747.816;639.279;137.402
mar-19;3.344.850;626.950;1.944.411;617.187;156.302
abr-19;3.862.819;628.475;2.346.930;755.901;131.513
may-19;3.748.342;695.040;2.238.711;697.590;117.000
jun-19;3.096.363;524.733;1.858.246;621.227;92.157
jul-19;3.255.830;592.897;1.784.233;745.289;133.411
ago-19;3.264.261;643.121;1.732.959;698.512;189.668
sep-19;3.067.349;521.278;1.643.277;725.027;177.767
oct-19;3.326.497;616.830;1.745.882;800.327;163.458
nov-19;2.943.625;587.014;1.553.536;632.739;170.336
dic-19;3.330.051;626.719;1.775.018;691.074;237.239
ene-20;3.418.856;676.034;2.081.321;551.267;110.234
feb-20;2.943.093;681.998;1.509.119;571.646;180.330
mar-20;2.439.036;640.248;978.526;625.305;194.956
abr-20;1.864.239;569.284;721.508;443.733;129.714
may-20;2.221.544;614.096;953.877;429.897;223.674
jun-20;2.278.120;615.027;929.123;488.127;245.843
