Mes;Union Europea;Canada;Estados Unidos;Mexico;Bolivia;Ecuador;Peru;Argentina;Brasil;Paraguay;Uruguay;Venezuela;China;Japon;India;Panama;Resto de paises;Total Exportaciones
nov-16;344417;36508;989073;87699;25350;117707;83797;15861;89626;2160;1767;23844;80564;36341;19317;132081;747511;2833622
dic-16;606429;47659;938620;85710;10515;143456;106255;21183;71939;1327;16709;22931;137840;72624;24875;166681;1002342;3477094
ene-17;421201;27662;825401;71032;11491;93860;78578;8447;68329;806;5587;17956;141530;40710;17626;116267;838562;2785044
feb-17;367375;26848;890626;71160;9843;95318;67581;10880;109916;799;2869;19755;132375;51636;10502;165748;682794;2716024
mar-17;594541;62401;913671;103801;13212;99769;91278;18845;135134;2115;2127;32349;171081;42781;16589;170708;830018;3300421
abr-17;371311;34879;830458;74514;15077;98531;79801;14221;75065;1515;1344;27913;127888;42151;7251;170410;725664;2697992
may-17;583183;67510;1054070;139776;12939;105718;109541;22208;111266;1056;1638;24545;135596;37550;22938;175941;899963;3505436
jun-17;260998;27253;878518;103999;9846;139822;96201;20224;123985;1268;1439;32168;189165;41361;28768;247487;693111;2895612
jul-17;428768;36403;803756;126124;13319;114411;97436;18334;138878;2206;2424;29421;142787;40185;51483;287942;791606;3125483
ago-17;456483;32867;919013;110741;13068;134793;97456;20385;115019;3671;2449;31560;205762;35674;28061;220164;764434;3191598
sep-17;593965;63259;723545;205920;16688;140952;80669;46916;104328;1472;2062;30425;252165;57831;23160;265457;780865;3389679
oct-17;519149;38984;883181;83453;14040;135215;105035;28558;128235;2615;3928;24093;341725;57928;21070;225020;665289;3277516
nov-17;312462;28526;789433;101366;11822;131463;90955;24671;153990;1111;7106;28461;174517;42035;20563;266808;936948;3122237
dic-17;529978;79738;1103543;344776;13933;175468;143725;31888;99334;1290;3161;20737;196692;67518;31630;158435;1012973;4014818
ene-18;389512;68222;1051938;150427;11297;128572;109238;30419;148644;2070;1899;30131;240645;40164;7473;306534;607704;3324889
feb-18;354582;60084;858923;127003;8052;118196;84113;19450;104268;1672;5181;28745;201838;30063;21115;184610;819708;3027603
